Genotype,"Mean(# Seeds (good), Italy, 2010)","Mean(# Seeds (good), Italy, 2011)","Mean(# Seeds (good), Sweden, 2010)","Mean(# Seeds (good), Sweden, 2011)","N(# Seeds (good), Italy, 2010)","N(# Seeds (good), Italy, 2011)","N(# Seeds (good), Sweden, 2010)","N(# Seeds (good), Sweden, 2011)","Mean(MSeedMass(ug), Italy, 2010)","Mean(MSeedMass(ug), Italy, 2011)","Mean(MSeedMass(ug), Sweden, 2010)","Mean(MSeedMass(ug), Sweden, 2011)","N(MSeedMass(ug), Italy, 2010)","N(MSeedMass(ug), Italy, 2011)","N(MSeedMass(ug), Sweden, 2010)","N(MSeedMass(ug), Sweden, 2011)","Mean(TotMass(ug), Italy, 2010)","Mean(TotMass(ug), Italy, 2011)","Mean(TotMass(ug), Sweden, 2010)","Mean(TotMass(ug), Sweden, 2011)","N(TotMass(ug), Italy, 2010)","N(TotMass(ug), Italy, 2011)","N(TotMass(ug), Sweden, 2010)","N(TotMass(ug), Sweden, 2011)"
74,33,20.2,33.6666666667,18.5,4,5,6,4,19.7612090808,19.962905452,25.2810890311,23.5669468811,4,4,6,4,650,380,840,420,4,4,6,4
75,22.3333333333,28.125,27.8333333333,,6,8,6,0,23.0886378706,20.7964062964,24.1778591779,,6,8,6,0,523.3333333333,622.5,660,,6,8,6,0
78,30.5714285714,27.8571428571,31.375,28.4,7,7,8,5,20.2241977599,19.1378152271,22.2135709568,21.8928960824,7,7,8,5,621.4285714286,517.1428571429,695,612,7,7,8,5
84,37.5,32.75,40,23,4,4,7,4,24.0835637481,22.7928444105,24.7367683037,26.5797305764,4,4,7,4,912.5,727.5,1000,607.5,4,4,7,4
85,28.5,35.4,41.25,33.6,6,5,4,5,21.2975931065,19.1903799904,21.6051184782,24.224185875,6,5,4,5,608.3333333333,698,897.5,818,6,5,4,5
87,27,31.5,36.25,30,5,6,4,5,23.1923469419,21.9795848316,26.0944626515,33.7655677656,5,6,4,5,622,701.6666666667,955,976,5,6,4,5
88,35.375,35.75,30.2222222222,29.1666666667,8,8,9,6,23.3222545557,20.9136887301,28.4159210783,24.0632614993,8,8,9,6,837.5,772.5,852.2222222222,708.3333333333,8,8,9,6
89,30.625,37.1428571429,43.5,29.2857142857,8,7,8,7,21.7767575846,21.0044482208,27.1650323885,28.2596423034,8,7,8,7,668.75,810,1185,815.7142857143,8,7,8,7
90,30.8,29.5714285714,43.6666666667,29,5,7,3,4,20.7048739496,18.8283462443,26.7248586494,30.4365807987,5,7,3,4,642,574.2857142857,1193.3333333333,887.5,5,7,3,4
91,33.4285714286,27.6666666667,39.625,18,7,6,8,2,20.6312931807,18.5037220628,23.7310365542,27.2916666667,7,6,8,2,697.1428571429,536.6666666667,941.25,460,7,6,8,2
92,23.2,30.8,35.125,33.6666666667,5,5,8,6,18.8907802724,17.7622602243,22.7109797535,24.5061403272,5,5,8,6,462,560,785,793.3333333333,5,5,8,6
99,28,27.3333333333,37.6666666667,32.3333333333,4,6,3,3,22.2816143895,21.0058159022,26.6756914583,27.0947802198,4,6,3,3,632.5,595,993.3333333333,926.6666666667,4,6,3,3
100,27.2857142857,24.875,32.8333333333,33.3333333333,7,8,6,3,23.1886080769,20.22714843,24.8319363453,25.9597069597,7,7,6,3,618.5714285714,571.4285714286,815,870,7,7,6,3
103,28,24.1666666667,39,32.25,4,6,5,4,21.7073252688,16.3105669266,25.3879647911,25.8183803763,4,6,5,4,595,426.6666666667,982,830,4,6,5,4
104,31.4,26.8571428571,45,33.2,5,7,4,5,20.6070702402,16.078201976,25.9364505057,28.1918796992,5,7,4,5,636,444.2857142857,1170,938,5,7,4,5
105,29,28,48.4,41.75,8,4,5,8,26.1937128763,26.6116557734,27.4963997907,28.4387790216,8,4,5,8,772.5,757.5,1332,1188.75,8,4,5,8
106,32,26.5,37,30.6666666667,5,4,7,6,22.7501937153,16.6430835921,23.8742541243,26.7180660596,5,4,7,5,716,445,881.4285714286,982,5,4,7,5
108,19.6,23.6666666667,25,30.8333333333,5,3,1,6,22.0808080808,16.0138888889,20.4,21.5334725313,5,3,1,6,428,386.6666666667,510,663.3333333333,5,3,1,6
109,32.4,26.5,31.6666666667,26,5,8,6,3,22.2879990324,26.2060981134,27.7949699617,28.3025911287,5,8,6,3,720,715,875,723.3333333333,5,8,6,3
110,31.1666666667,28.5,32,26.2857142857,6,6,4,7,24.8730443533,17.9448930135,22.941217766,23.231587503,6,6,4,7,746.6666666667,546.6666666667,730,610,6,6,4,7
111,24.375,29.2857142857,32.25,25.25,8,7,4,4,27.290377703,17.9349216873,24.4801032301,27.6206570347,8,6,4,4,593.75,610,787.5,705,8,6,4,4
114,32.5,41.5,39.6666666667,28.7777777778,6,2,3,9,23.4687087342,19.2761627907,26.3145645646,27.9676315821,6,2,3,9,766.6666666667,800,1043.3333333333,803.3333333333,6,2,3,9
115,29.4,26.8333333333,36.6,29.2,5,6,5,5,22.5193261213,18.5947652348,26.7113859172,23.7034493284,5,5,5,5,654,518,972,682,5,5,5,5
