id,F09_NFruitIt_noedge_lsm,F09_NFruitSw_noedge_lsm,F10_NFruitIt_noedge_lsm,F10_NFruitSw_noedge_lsm,F11_NFruitIt_noedge_lsm,F11_NFruitSw_noedge_lsm
3,12.034024,11.80384554,12.460451,23.04867303,10.60096187,14.87115741
6,20.12533947,7.442627575,14.116901,22.58344144,12.9035035,8.193702601
7,15.12775059,6.896960347,13.292528,22.14040985,15.06459166,8.489101658
8,19.20913213,8.395358366,13.954902,25.56119408,12.98684874,8.080183623
11,12.94336695,12.01395821,11.967208,24.297996,11.48311441,18.15869374
13,14.224423,8.519413573,5.453258,22.87385582,5.123998646,19.50998347
14,20.59205843,6.518606792,14.86913,21.51158383,11.17966013,8.037535999
16,15.61411457,11.88315,12.088941,22.87903021,10.29230658,10.99943281
18,10.90728993,12.35454388,5.679461,24.0214852,6.619251276,14.16287016
23,11.8155631,11.07983932,8.590272,24.11922161,8.35105727,8.400342089
24,13.06567928,11.15400462,7.629986,22.76795251,10.05502704,11.87470917
25,13.9874129,12.05498018,9.36124,22.74543909,7.458632715,15.49178533
26,16.91049629,7.094141439,17.326784,22.83637764,13.28940973,7.658847042
28,15.3467342,11.74650492,10.772038,25.07870401,10.49768592,12.23504074
29,13.34121217,11.03644153,3.879339,24.72060808,7.89231467,12.74612837
31,16.2286019,11.28465729,8.802213,26.10462994,8.119916429,9.297817684
32,14.7741865,6.884986852,6.475411,21.13176122,15.52499801,8.805589423
34,12.2855021,13.50016451,11.756988,24.97463443,7.889086711,10.46526454
35,14.72023481,7.745660075,8.986832,24.27830942,8.687648138,17.95396397
36,11.95280644,12.9874382,9.868146,24.84487382,12.21602676,18.41695035
39,12.48309569,11.94362375,6.199949,22.93508654,7.844019035,18.97735014
40,13.97550363,11.74007689,9.253674,25.05047719,6.777715074,13.57689534
41,11.00240856,12.58521849,7.294241,24.07331821,7.550114105,17.20198053
42,14.26457209,10.52536504,10.53199,34.1326876,8.459272746,9.19486887
44,9.564593345,11.61089549,6.300938,21.63040118,6.860290159,9.121425146
46,9.349678365,10.06098399,7.842069,21.22103436,8.526533967,12.95988006
47,14.60711803,11.93268082,14.562521,24.91617903,8.278606624,8.085536292
48,14.48025287,11.83223525,12.605942,24.14154082,9.9530817,9.976795667
50,17.72754266,8.021304117,13.93037,21.28637354,14.67281791,8.379907059
51,13.6780592,11.33223044,5.008279,30.23338703,8.984446093,10.08913138
52,13.47859066,9.370963689,7.901812,24.41077115,9.960559651,9.058499325
53,12.05239901,11.3455635,8.080532,24.99935959,10.86324448,13.95542907
58,11.16645573,10.83168398,6.19375,21.09741406,8.527581436,13.04406659
59,8.116335144,8.776880109,3.93144,21.43825849,5.36773187,12.5009529
60,13.69385149,14.40643454,12.629988,25.85122355,8.434233105,18.00577702
61,12.78244719,12.37883676,7.823036,28.69669772,11.60699169,13.2809201
64,14.2227191,13.39737909,4.98216,24.04364708,6.139391616,8.484426751
65,16.5287371,11.64436858,7.863463,27.75261726,10.74023628,7.225535127
67,15.93086677,13.07993001,8.010715,25.41837132,10.02542604,9.906419548
68,9.533671802,10.89138734,9.082887,22.62070857,9.822896722,23.70559304
69,11.59802877,14.85825082,8.148435,22.28625974,8.747168195,12.51659294
70,13.71442004,11.09146252,6.833094,23.07281237,9.552838598,9.375731892
72,10.53664761,9.059791924,11.234975,22.74087021,10.74109486,14.15550326
74,11.47548448,11.01279582,8.130313,25.66740999,6.943841039,8.368468191
75,15.31604911,11.87639822,10.216839,22.3848433,11.85229405,13.2294258
78,14.0195988,11.39887263,11.903721,27.65556181,10.27863158,9.153586421
84,10.31860877,12.12195611,5.573177,24.7312263,7.299636049,14.24825817
85,10.96183814,10.93301582,8.847807,22.62012183,8.901122399,13.7940767
87,14.05519767,10.12064154,8.800382,22.41192897,13.38580264,13.04568702
88,17.67451148,10.5779203,14.910824,29.2162193,14.97762181,9.194936122
89,13.1273667,10.29373364,10.741498,23.89782916,8.802351861,12.41590084
90,9.669755294,11.00714618,8.951448,23.43153462,7.687356931,9.867838947
91,9.265662991,11.38365123,6.173936,24.57874021,7.897629061,8.052331189
