"genotype","mean_it2010","mean_it2011","mean_sw2010","mean_sw2011"
439,21.288453159,16.2235569509,22.8277284619,23.6355862775
440,19.1230224691,17.4393595822,21.1507905643,22.9045040646
442,18.423525041,19.7619047619,24.5305040494,25.9338361152
444,24.1565217391,19.7348272642,21.6460991563,22.7962074691
445,23.2794505495,19.752262117,23.9620934621,26.6284712898
447,21.4601857141,16.6469271469,24.5637699946,25.4950381609
448,19.2382673318,NA,NA,NA
449,35.3125313283,37.2287634409,41.8966134699,45.6842231842
450,23.1986306447,21.8877688172,28.3439137522,24.2523435375
452,20.5254355401,16.7565234437,24.3987308987,25.0419432419
454,21.1106871104,19.7147339894,22.2977779246,23.5351518255
455,24.8398972301,17.6761214976,24.5935785409,NA
456,22.2667265457,15.4696576307,24.4884823848,25.7489581729
457,21.6804939177,19.095502236,24.0524993089,24.3425051913
458,19.2603637742,20.2329136699,26.2149354024,NA
459,23.4816586151,22.2199675953,25.2934800551,26.7964675339
460,25.0596678863,17.3281781458,25.9430060825,NA
461,18.1237873735,19.3510411981,26.4195738902,NA
462,21.7507692308,23.2954116945,23.2845717234,21.2816420251
463,23.3505952381,16.6001569172,26.3339811508,36.4163372859
466,18.7424516908,NA,26.7047589115,26.6605392157
469,27.1655172414,21.1463359063,24.1980607628,22.531986532
470,24.9856208247,22.0771604938,26.9504226664,30.5032316986
472,22.816651702,17.9671274285,NA,22.3005979528
473,24.6430652681,18.8835227273,24.5903095819,32.2104599906
475,22.8258330379,18.7742673993,23.7629010142,24.8560903149
476,18.3643162393,NA,22.3520409161,23.336489899
NA,NA,NA,NA,NA
481,22.106959707,20.236766464,NA,24.0356625549
484,21.6408204766,17.8572404786,23.5004025765,24.5388091441
485,24.2585630744,20.8570073806,25.9767349767,24.5454545455
486,19.9134809635,17.4937343358,25.3768303187,29.6270228417
488,21.9438596491,NA,23.7222934859,NA
489,18.5216450216,18.7258876389,23.6675043706,23.7298850575
490,20.824085081,14.455026455,21.4985202166,NA
494,20.0511315212,20.1777777778,21.0120831549,24.770531401
495,18.5137566138,19.9658277825,22.5397362249,23.5828291994
496,18.6230769231,10.8464573269,25.6401002506,26.144672055
499,21.4285025011,20.1364942529,25.2265561363,NA
503,22.6903538307,24.4911279559,25.5659244735,25.8448275862
504,19.969368987,NA,NA,24.6416791604
506,19.8445037419,22.046350613,26.8680436448,28.7362141524
507,24.3904086457,22.4582530814,24.2560839544,27.9950247695
508,20.3235121737,20.843476237,23.9765959015,26.0647488617
509,21.6311588738,21.5857142857,22.8762531328,22.6258276704
510,19.1571969697,23.3769230769,28.277972028,NA
513,21.0381535887,23.6174055829,25.4891484496,28.6546840959
515,16.0191570881,18.6669454616,22.438380442,25.0903926483
516,21.4098124098,20.3618191721,27.6309023552,28.8392857143
519,18.0297619048,20.233785822,26.7101677363,27.7100096311
520,20.4642857143,NA,22.6155109277,26.8336349743
521,17.7048592167,19.8940197733,22.3610186817,23.5250257777
522,16.102915804,18.5048799077,NA,NA
524,26.2705157805,15.1731105991,22.8071322719,23.9266787659
527,24.0396636329,NA,26.5902561281,26.5881649821
528,22.8604771391,18.5598444162,24.8948023654,26.6172712717
530,25.0254492536,15.3725490196,NA,25.2164286928
535,20.6871621622,15.616914232,22.0965929164,NA
536,20.4165452603,18.5139130435,20.6380176075,18.899685161
540,24.0341341665,20.0030686705,27.2545248869,NA
541,22.5884637151,20.7300075292,23.4185706399,NA
545,19.3135554159,18.8321482439,NA,26.4410943159
547,21.818627451,18.720371517,24.3583194284,25.5912698413
548,17.3827570956,NA,25.2550435228,25.0519047619
549,23.9829545455,17.7228344353,29.0986590038,28.3237327189
550,21.4198841699,23.8787926484,26.527458493,27.7093406593
552,19.6941520468,20.5281385281,26.7037037037,27.1568582163
553,22.3142857143,13.7083333333,29.2693928533,30.6215386391
558,24.7627862334,20.4440789474,25.838945737,27.3236186007
559,20.9161530658,19.0125806452,26.8062240281,NA
560,24.0363687204,19.1641558442,26.6316067653,27.5311208554
561,25.8993039628,16.5507246377,26.0619358478,26.3988667159
562,21.5420979986,NA,22.9832197673,23.0956109489
563,19.8779539832,20.6643754375,25.5012112071,24.2468975469
564,22.8169501268,16.0941459775,24.3499546743,28.3501664107
565,25.6979320679,21.8283564058,24.8226051828,27.2334254691
567,23.4694279833,20.7827004865,25.4899170597,29.1769914711
571,23.1808535567,20.4837419525,26.3318972694,26.5181782573
572,21.6281385281,18.2373571239,23.4769568704,24.6159003831
574,25.2230414747,17.7983764124,27.0025252525,30.4708173804
575,20.7887205387,21.9829140158,22.7225935018,24.6928305324
576,22.9749807185,21.0127960275,24.2537393162,21.6885741034
578,17.802608397,17.5169575523,26.3894286917,28.0601798133
579,21.8174291939,18.9278017241,25.2980989704,26.6712364538
581,22.2614507283,22.2663547758,21.9963673351,NA
582,23.6147869674,20.2291898578,22.0653439947,NA
583,23.6296296296,17.9470529471,NA,29.9802648332
586,23.9143928322,16.5371733609,26.7535089981,26.3931667764
587,21.3727105532,NA,23.3860299365,25.3510646274
590,23.7997807018,18.1968253968,23.1533412262,NA
593,21.9661436125,21.4016320286,26.240981241,30.0733094117
594,21.4832414832,19.3725871711,24.7747710623,23.5136153838
595,27.3764690171,20.6072722567,29.2441860465,27.5
596,23.4337285903,21.5074407399,24.7917977182,29.2085085656
601,23.305413008,NA,26.074270557,28.108974359
602,18.6226400313,11.4530443756,21.6888888889,23.7501204935
605,22.2146268342,19.5576923077,26.6656956547,29.4738915428
606,22.3686934728,18.9562145929,23.249129904,24.1650317095
607,21.8055555556,20.2202172097,26.5020648373,NA
609,22.3739854512,20.1471827101,26.3784052867,33.0439065578
610,23.3483444681,21.3035130719,27.5066279037,27.9185128597
612,22.1579365079,18.2606156027,24.0186716792,NA
614,23.1726069493,19.9538239538,24.5335345847,27.2913740395
619,21.1352918587,20.4214647831,27.1013133208,26.8749292586
620,21.8174903332,19.3978645222,24.0664417361,24.9926772751
623,21.0852390028,22.0150742848,31.1064993565,27.1330676986
625,20.9809437874,17.5734271315,22.7349323474,NA
629,28.6354691763,21.85351299,26.3645758662,26.491391203
631,30.6743552536,23.0730190862,26.6177526588,30.8261938922
633,17.874462494,22.6620813397,23.9455259027,NA
635,21.696743295,25.2305595069,25.8646245059,25.7661540199
640,19.5990581098,NA,25.1175123976,26.9909783973
642,19.9137234902,20.6914110734,24.4268067017,26.6739086145
644,21.9609227644,20.3641456583,27.542876588,25.0025595514
647,25.486860939,22.6565941369,22.2148685374,24.2682633307
649,23.3594958595,23.359375,NA,27.3827244009
651,23.1133489942,21.3832337826,22.5605691057,26.6835016835
656,23.6991920706,20.1603652652,25.8692424084,29.2241935484
657,24.3916827415,18.4197828487,24.9378296176,26.5825451996
658,26.9042568543,21.2659263568,26.6414141414,24.9180036411
659,23.9410375893,19.8190041992,25.5265190002,25.1321212121
660,19.4834020147,19.008308224,24.5686632603,22.5172043011
663,23.2897996571,18.3359307359,25.2590061011,28.4536343957
666,23.5392583607,20.3516438516,27.4377387319,NA
672,24.7037037037,22.0185185185,28.7048872473,31.5238073888
676,22.5288359788,22.5830309226,25.8463726885,28.1610586277
680,21.5205349727,19.1453825489,24.9135007351,25.4225091796
681,20.3881987578,22.6827326468,22.2511882651,25.9243575052
683,20.7807381702,18.4988535503,24.8831501832,27.1910068871
687,18.1752777896,22.9124040921,23.4818007663,24.5128821095
691,22.6626262626,22.6651569473,26.1624108173,26.0607867794
697,23.2705416231,22.5898306358,26.6644083107,27.3778800147
700,24.4418171679,18.5821739492,25.4180733938,30.5487213404
