year,site,tray,pos,row,column,subline,genotype,fruit_per_plant,fruit_per_seed
2010,italy,11,107,9,3,Sw11,sweden,,0
2010,italy,11,130,10,13,Sw7,sweden,,0
2010,italy,11,209,17,1,It24,italy,20,20
2010,italy,11,234,18,13,Sw47,sweden,,0
2010,italy,11,249,20,2,It24,italy,57,57
2010,italy,12,16,2,3,Sw43,sweden,9,9
2010,italy,12,25,2,12,It41,italy,11,11
2010,italy,12,40,4,1,It41,italy,18,18
2010,italy,12,78,6,13,Sw47,sweden,,0
2010,italy,12,84,7,6,Sw47,sweden,,0
2010,italy,12,87,7,9,Sw47,sweden,2,2
2010,italy,12,91,7,13,It41,italy,15,15
2010,italy,12,116,9,12,It24,italy,36,36
2010,italy,12,136,11,6,Sw7,sweden,24,24
2010,italy,12,140,11,10,It24,italy,1,1
2010,italy,12,156,12,13,It24,italy,14,14
2010,italy,12,219,17,11,It24,italy,11,11
2010,italy,12,222,18,1,Sw11,sweden,,0
2010,italy,12,245,19,11,It41,italy,29,29
2010,italy,12,248,20,1,Sw47,sweden,11,11
2010,italy,13,22,2,9,Sw47,sweden,,0
2010,italy,13,55,5,3,It15,italy,12,12
2010,italy,13,83,7,5,Sw47,sweden,8,8
2010,italy,13,97,8,6,It41,italy,11,11
2010,italy,13,104,8,13,It32,italy,20,20
2010,italy,13,135,11,5,It24,italy,8,8
2010,italy,13,159,13,3,Sw11,sweden,,0
2010,italy,13,179,14,10,Sw11,sweden,8,8
2010,italy,13,181,14,12,It15,italy,7,7
2010,italy,13,221,17,13,Sw43,sweden,3,3
2010,italy,14,26,2,13,Sw7,sweden,,0
2010,italy,14,46,4,7,Sw43,sweden,,0
2010,italy,14,59,5,7,It24,italy,226,226
2010,italy,14,76,6,11,It15,italy,144,144
2010,italy,14,86,7,8,It32,italy,25,25
2010,italy,14,91,7,13,Sw11,sweden,,0
2010,italy,14,103,8,12,It41,italy,72,72
2010,italy,14,119,10,2,Sw43,sweden,,0
2010,italy,14,124,10,7,Sw43,sweden,6,6
2010,italy,14,132,11,2,Sw43,sweden,,0
2010,italy,14,196,16,1,It15,italy,110,110
2010,italy,14,218,17,10,It32,italy,133,133
2010,italy,15,73,6,8,Sw11,sweden,,0
2010,italy,15,97,8,6,Sw43,sweden,,0
2010,italy,15,127,10,10,It41,italy,,0
2010,italy,15,158,13,2,It15,italy,108,108
2010,italy,15,163,13,7,Sw7,sweden,,0
2010,italy,15,189,15,7,Sw7,sweden,,0
2010,italy,15,203,16,8,It32,italy,28,28
2010,italy,15,225,18,4,Sw7,sweden,,0
2010,italy,15,228,18,7,Sw11,sweden,,0
2010,italy,15,238,19,4,Sw11,sweden,,0
2010,italy,15,250,20,3,It15,italy,108,108
2010,italy,15,257,20,10,It41,italy,,0
2010,italy,16,11,1,11,Sw11,sweden,,0
2010,italy,16,17,2,4,It41,italy,46,46
2010,italy,16,18,2,5,It32,italy,1,1
2010,italy,16,21,2,8,Sw47,sweden,,0
2010,italy,16,113,9,9,Sw11,sweden,,0
2010,italy,16,117,9,13,Sw47,sweden,,0
2010,italy,16,130,10,13,Sw7,sweden,,0
2010,italy,16,156,12,13,Sw47,sweden,,0
2010,italy,16,207,16,12,Sw11,sweden,,0
2010,italy,17,35,3,9,It41,italy,17,17
2010,italy,17,37,3,11,Sw47,sweden,3,3
2010,italy,17,41,4,2,It32,italy,123,123
2010,italy,17,45,4,6,It15,italy,10,10
2010,italy,17,54,5,2,Sw11,sweden,,0
2010,italy,17,83,7,5,Sw7,sweden,2,2
2010,italy,17,98,8,7,Sw43,sweden,9,9
2010,italy,17,118,10,1,It24,italy,9,9
2010,italy,17,121,10,4,It24,italy,26,26
2010,italy,17,122,10,5,Sw43,sweden,7,7
2010,italy,17,153,12,10,Sw47,sweden,4,4
2010,italy,17,169,13,13,Sw43,sweden,,0
2010,italy,17,183,15,1,It24,italy,46,46
2010,italy,17,195,15,13,It32,italy,8,8
2010,italy,18,14,2,1,Sw11,sweden,2,2
2010,italy,18,36,3,10,Sw7,sweden,,0
2010,italy,18,55,5,3,It15,italy,58,58
2010,italy,18,83,7,5,It41,italy,12,12
2010,italy,18,84,7,6,Sw43,sweden,6,6
2010,italy,18,126,10,9,Sw7,sweden,,0
2010,italy,18,135,11,5,Sw43,sweden,,0
2010,italy,18,154,12,11,It15,italy,7,7
2010,italy,18,165,13,9,Sw47,sweden,3,3
2010,italy,18,166,13,10,Sw43,sweden,4,4
2010,italy,19,12,1,12,Sw11,sweden,,0
2010,italy,19,55,5,3,Sw11,sweden,,0
2010,italy,19,60,5,8,It15,italy,14,14
2010,italy,19,68,6,3,It15,italy,,0
2010,italy,19,94,8,3,Sw43,sweden,,0
2010,italy,19,136,11,6,Sw47,sweden,2,2
2010,italy,19,187,15,5,It15,italy,,0
2010,italy,19,201,16,6,It32,italy,11,11
2010,italy,19,202,16,7,Sw7,sweden,,0
2010,italy,19,210,17,2,Sw7,sweden,,0
2010,italy,19,229,18,8,It24,italy,13,13
2010,italy,19,234,18,13,Sw47,sweden,,0
2010,italy,19,237,19,3,Sw7,sweden,,0
2010,italy,19,249,20,2,Sw7,sweden,,0
2010,italy,20,127,10,10,It15,italy,,0
2010,italy,20,128,10,11,It24,italy,,0
2010,italy,20,141,11,11,It41,italy,,0
2010,italy,20,165,13,9,It41,italy,,0
2010,italy,20,197,16,2,Sw47,sweden,,0
2010,italy,20,223,18,2,Sw7,sweden,2,2
2010,italy,20,224,18,3,Sw43,sweden,,0
2010,italy,20,233,18,12,It24,italy,,0
2010,italy,21,4,1,4,It32,italy,18,18
2010,italy,21,29,3,3,It41,italy,6,6
