year,site,tray,pos,genotype,fruit_per_plant,nseeds,mean_mass_ug,total_mass_mg,Comment
2010,sweden,24,72,sweden,41,39,25.641025641,1000,
2010,sweden,24,82,sweden,34,32,22.1875,710,1 st skadat skal
2010,sweden,24,98,sweden,21,31,21.6129032258,670,
2010,sweden,24,118,italy,33,26,25.7692307692,670,
2010,sweden,24,126,sweden,0,,,,
2010,sweden,24,171,sweden,0,,,,
2010,sweden,24,181,italy,16,22,30,660,
2010,sweden,24,194,italy,44,29,26.5517241379,770,
2010,sweden,24,216,sweden,0,,,,
2010,sweden,24,226,italy,0,,,,
2010,sweden,24,232,sweden,0,,,,
2010,sweden,25,18,sweden,0,,,,
2010,sweden,25,37,italy,0,,,,
2010,sweden,25,39,italy,0,,,,
2010,sweden,25,79,italy,19,33,30.303030303,1000,
2010,sweden,25,111,sweden,49,38,25,950,
2010,sweden,25,160,italy,0,,,,
2010,sweden,25,188,sweden,15,26,24.2307692308,630,8 st gröna frön (good)
2010,sweden,25,191,italy,0,,,,
2010,sweden,25,205,sweden,0,,,,
2010,sweden,25,211,italy,0,,,,
2010,sweden,25,223,sweden,0,,,,
2010,sweden,25,225,italy,79,40,22.25,890,
2010,sweden,25,249,sweden,0,,,,
2010,sweden,26,10,sweden,0,,,,
2010,sweden,26,15,sweden,0,,,,
2010,sweden,26,16,sweden,0,,,,
2010,sweden,26,50,italy,71,41,30.9756097561,1270,
2010,sweden,26,68,italy,23,27,28.1481481481,760,
2010,sweden,26,77,italy,21,14,30,420,
2010,sweden,26,111,sweden,29,38,25,950,1 st skadat skal
2010,sweden,26,156,italy,18,28,22.8571428571,640,
2010,sweden,26,160,italy,0,,,,
2010,sweden,26,190,sweden,25,35,24.2857142857,850,
2010,sweden,26,244,sweden,27,42,24.0476190476,1010,
2010,sweden,26,253,italy,45,39,29.4871794872,1150,
2010,sweden,27,7,italy,0,,,,
2010,sweden,27,24,sweden,0,,,,
2010,sweden,27,70,italy,21,31,24.8387096774,770,
2010,sweden,27,81,sweden,37,27,21.4814814815,580,bara 1 skal med i kuvert
2010,sweden,27,89,italy,42,33,27.8787878788,920,
2010,sweden,27,107,sweden,26,35,24.2857142857,850,
2010,sweden,27,155,sweden,32,32,26.5625,850,
2010,sweden,27,180,italy,36,22,30.4545454545,670,
2010,sweden,27,196,italy,32,23,23.0434782609,530,
2010,sweden,27,200,italy,23,,,,bara 1 skal i kuvert
2010,sweden,28,13,sweden,0,,,,
2010,sweden,28,24,italy,0,,,,
2010,sweden,28,27,italy,0,,,,
2010,sweden,28,40,italy,0,,,,
2010,sweden,28,76,italy,0,,,,
2010,sweden,28,81,italy,28,36,26.9444444444,970,
2010,sweden,28,110,sweden,0,,,,
2010,sweden,28,124,sweden,27,34,,,"Frön tappade, vågen började kalibrera. 2 frön finns kvar."
2010,sweden,28,211,italy,56,20,24,480,
2010,sweden,28,220,italy,33,29,23.7931034483,690,
2010,sweden,28,248,italy,22,21,27.1428571429,570,
2010,sweden,29,33,sweden,0,,,,
2010,sweden,29,61,italy,0,,,,
2010,sweden,29,90,sweden,30,39,26.9230769231,1050,
2010,sweden,29,91,sweden,29,32,23.4375,750,
2010,sweden,29,101,sweden,25,38,26.0526315789,990,
2010,sweden,29,152,sweden,0,,,,
2010,sweden,29,157,sweden,28,44,23.8636363636,1050,
