"id","it2010","it2011","sw2010","sw2011"
3,12.460451,10.60096187,23.04867303,14.87115741
6,14.116901,12.9035035,22.58344144,8.193702601
7,13.292528,15.06459166,22.14040985,8.489101658
8,13.954902,12.98684874,25.56119408,8.080183623
11,11.967208,11.48311441,24.297996,18.15869374
13,5.453258,5.123998646,22.87385582,19.50998347
14,14.86913,11.17966013,21.51158383,8.037535999
16,12.088941,10.29230658,22.87903021,10.99943281
18,5.679461,6.619251276,24.0214852,14.16287016
23,8.590272,8.35105727,24.11922161,8.400342089
24,7.629986,10.05502704,22.76795251,11.87470917
25,9.36124,7.458632715,22.74543909,15.49178533
26,17.326784,13.28940973,22.83637764,7.658847042
28,10.772038,10.49768592,25.07870401,12.23504074
29,3.879339,7.89231467,24.72060808,12.74612837
30,9.464825,10.80918354,23.77360902,10.03588687
31,8.802213,8.119916429,26.10462994,9.297817684
32,6.475411,15.52499801,21.13176122,8.805589423
34,11.756988,7.889086711,24.97463443,10.46526454
35,8.986832,8.687648138,24.27830942,17.95396397
36,9.868146,12.21602676,24.84487382,18.41695035
39,6.199949,7.844019035,22.93508654,18.97735014
40,9.253674,6.777715074,25.05047719,13.57689534
41,7.294241,7.550114105,24.07331821,17.20198053
42,10.53199,8.459272746,34.1326876,9.19486887
44,6.300938,6.860290159,21.63040118,9.121425146
46,7.842069,8.526533967,21.22103436,12.95988006
47,14.562521,8.278606624,24.91617903,8.085536292
48,12.605942,9.9530817,24.14154082,9.976795667
50,13.93037,14.67281791,21.28637354,8.379907059
51,5.008279,8.984446093,30.23338703,10.08913138
52,7.901812,9.960559651,24.41077115,9.058499325
53,8.080532,10.86324448,24.99935959,13.95542907
58,6.19375,8.527581436,21.09741406,13.04406659
59,3.93144,5.36773187,21.43825849,12.5009529
60,12.629988,8.434233105,25.85122355,18.00577702
61,7.823036,11.60699169,28.69669772,13.2809201
64,4.98216,6.139391616,24.04364708,8.484426751
65,7.863463,10.74023628,27.75261726,7.225535127
67,8.010715,10.02542604,25.41837132,9.906419548
68,9.082887,9.822896722,22.62070857,23.70559304
