"genotype","it2010","it2011","sw2010","sw2011"
317,NA,139.1379534355,795.090162160811,468.429919103056
323,320.068259666385,325.140461805065,843.459634925,396.460769658
324,127.420282,202.57210296,1043.361162816,528.621433999471
326,114.5570245,218.027428194541,869.003404286062,461.997130016938
328,163.908161714078,256.6084690256,877.02424361,598.282856231077
330,535.8309495,407.13462268125,670.45080184,NA
331,172.69187,186.496203837,878.412326707444,285.03392209
332,201.6198528,228.78228032,590.57415951,722.47293739
333,172.58261375,400.311245405,1039.2604430012,558.676836368863
334,113.40014175,214.6324106945,638.86513902,323.491371586272
335,136.645668,181.841173863,NA,358.790134775
336,139.568702285492,220.826932896226,851.154179920743,507.645606164068
337,188.849297,263.468128875,788.5947223125,366.887942355
338,123.989901499852,135.226420894361,NA,624.342982124514
341,170.1160352,NA,709.940644094058,307.940567252
342,68.47767175,62.9832103375,967.142715264,NA
344,113.630049,NA,1092.0361248,601.54038126
345,147.289233,230.639424387,NA,559.0346035225
348,117.217858,NA,1096.92790414748,939.642292789329
349,239.6712455,229.003196549605,NA,640.823937677266
351,153.8557602,146.80620533625,652.627449787333,517.213331766
352,107.0792125,316.085971422353,629.543666028,639.514605234006
353,127.0097688,126.114407894386,703.751874610729,428.03504531625
356,184.71537,196.552061794179,766.16058913375,428.373564698748
357,247.791399333586,128.632211905778,730.917431394079,519.2560362
358,NA,229.261932114359,855.7576395925,781.549896311121
360,234.6656455,233.744030123767,787.62348114,558.39407432
361,168.2478036,NA,1012.04946041209,970.01696246
362,311.103644857585,NA,652.269158204,251.1801215
364,160.6479986,193.851733269,762.925918274,659.078061386231
366,269.6734752,274.1685995,972.949707682539,522.442830195
369,164.1559392,236.651137776625,947.1992706,NA
371,109.84852025,123.9701745658,853.428747099258,758.267837395407
379,127.042476,177.3747371776,899.712240592,979.943552141877
380,121.029885,221.538663976,789.668496332,364.634234098765
383,117.679561,202.12566796,770.066852416,570.5169147775
384,315.88448,234.993682683,983.4277904,660.502381384853
385,256.342647714676,269.389954122,637.280135094088,228.17965213558
386,152.911351999826,163.848815604,799.155698122,820.504447023205
388,215.7579216,221.268380018,NA,NA
390,182.715890285544,291.0648200016,1013.36302999973,312.12059229
391,343.418128333695,303.914832026321,798.65915986,538.91949866
393,278.23076625,249.114406302,763.111753272,329.28327418
394,216.981217000086,254.235802959,849.614845200772,413.182813342
395,364.800877714114,270.785747528,712.458953224,313.527698422989
396,218.609677,271.184413524,773.067121420733,352.65909294
397,174.4841745,249.673590281578,858.4784003725,NA
399,NA,NA,274.067339865982,NA
403,NA,142.25638728,851.525181645,288.20955564
409,246.218427,256.170827768,901.390042118,601.8209272125
411,120.2376758,196.491211834118,857.44866655073,673.52932908
414,247.567877333637,192.52739810977,778.616472,300.963573129
415,82.7931633331906,97.088756287,967.090164255836,403.055920856093
416,292.894788000146,278.54202478125,721.19566995,565.803746370691
417,839.145684571138,315.5805231075,961.116709732509,486.22461444
418,248.168324833025,254.5729228635,953.343455702,635.77854492
420,279.101685714007,298.710310579638,636.34868638,452.092500709833
423,271.717171000291,181.510378906,629.93323352,417.307528820426
426,253.79733975,615.18524688203,745.236260267477,254.2498277048
427,248.0153355,200.674924248,1028.71691076,326.32937102
428,199.00635,185.509792169938,1041.08688678,507.374476847177
429,329.217306,451.3753069375,1033.384144,NA
431,399.059647832872,287.37915940525,730.489979116753,522.8662741875
432,304.564400142472,280.133473470337,965.32110928,759.740736456
434,457.7545224,409.554373318,688.70266397,NA
435,312.816274856819,400.40510913825,914.373668694122,406.003329371231
436,268.366114286072,NA,305.66756523,NA
438,271.216176,185.346217645817,882.199048185,348.967117925
439,152.8748085,312.116054849663,1058.999136624,672.325034252
440,160.072627,250.085077469567,918.83755014,376.25139384
442,250.72329,113.970648946,808.506113625,440.27437508506
444,134.003495999848,240.37620312,996.196130382,495.189319500388
445,273.3588076,349.919605702279,746.793736549242,499.628059651068
447,335.936482667038,191.2407277048,1053.62835463915,501.508269045
448,489.4406832,NA,NA,NA
449,92.413908,176.4072301672,474.978056975,132.0036663645
450,232.08063175,219.6383025408,832.027429608,406.46369448
452,260.928381,287.9121387,786.6462305,594.74244765
454,328.74393075,278.660963617744,829.33686465,447.4625451875
455,228.5379045,260.28604572125,869.638844493275,NA
456,220.850772999691,178.4970684778,819.825043825893,417.2443685025
457,288.428018,259.95647151,951.77021304,379.60701637681
458,173.0253024,301.485353363786,735.5254343975,NA
459,139.180734,342.37401958877,1041.682256256,564.181403967323
460,273.568482,249.748657322129,820.059922432,NA
461,623.67759,495.017521992,678.996745208,NA
462,260.5337048,228.141488725625,804.226243275,293.9139934575
463,137.504095,255.001259617018,807.196068162603,419.7419568
466,128.71026675,NA,791.872430074621,253.765340057691
469,120.7929888,183.831275738328,917.60059191,223.385411386348
470,683.35117375,349.44213941,825.767477595865,487.565538
472,265.58817716637,344.2973231975,NA,225.592861631984
473,139.676906666841,172.9457918825,842.12782815,525.296167189393
475,324.430013,233.88125492937,908.945874528,370.260155124
476,348.663336,NA,840.043834504,355.80233313
NA,NA,NA,NA,NA
481,135.875664,273.75070685625,NA,507.2397620675
484,142.071573333511,185.15138676267,766.936321919276,431.20383516
485,101.530503,206.092450643901,740.1854376,149.106684133563
486,123.7872512,122.774229218886,797.51524136,484.181704882
488,86.9754876665241,NA,849.83230875,NA
489,372.77846775,498.949033842,716.57763858,321.795214148
490,298.500726857302,221.6840277075,848.38266726,NA
494,194.937435,144.4436475412,846.793924681004,304.73534795
495,187.5904,300.584430471331,884.849230993551,489.8938076175
496,108.72860775,139.699413204225,524.06395308,367.056988272
499,356.998224714793,276.74049385,699.420327775,NA
503,295.023525,222.331554725,803.490570513951,584.606605406858
504,171.127269,NA,NA,251.201480348
506,277.85931433364,279.402282187194,847.76922973125,488.989892291198
507,551.84363,436.765037301233,697.81270455,386.68920037
508,297.798536111378,260.57554944,822.39594804,380.242442053214
509,241.2934765,383.281045692,785.8546962,318.639377946
510,164.16211375,270.77129523,657.349427625,NA
513,157.91173266688,192.918471642,854.41359336,391.031537412954
515,199.0580064,284.970068702738,1016.15820068496,422.479295964
516,161.280864,265.75356775,1431.38709534446,353.125680515
519,245.20861575,198.752565561122,973.8384222,775.60831716
520,78.6064995,NA,959.411638875,342.9635333375
521,370.308599444566,387.507990133706,1070.69546870036,251.468034825287
522,139.235922,170.229242176896,NA,NA
524,526.342377,273.4057464832,763.68910688,255.474261925
527,393.786050000402,NA,856.52136724,341.64180447
528,293.633088,231.322413964651,843.215642606,1041.479695674
530,306.3430044,242.6174675715,NA,610.0485516
535,158.76321625,203.02679376,855.74000379,NA
536,225.32796,193.547703465,947.551535856,447.589025803797
540,360.305,276.528160545,717.2222713,NA
541,206.8567724,310.440098496,1063.030752896,NA
545,283.784655,334.269675322383,NA,323.65898516
547,153.31979025,294.9163568516,1061.11680576,560.590434045
548,205.836594,NA,680.943407090879,196.2080101204
549,177.30467475,222.282978197012,680.71819968,331.64037667
550,222.6869008,159.185351931912,631.1899755,451.192359672
552,141.7373914,213.467364188313,920.4014032,884.2057015725
553,149.6704836,187.753886907,630.75638232,343.02056071795
558,79.6016000001225,117.7541113835,1018.95792406465,417.853456792824
559,570.464459333997,235.2062890492,849.816370352,NA
560,223.911889166378,162.201106514,958.834836960827,627.224640952666
561,155.4863664,104.827971131,911.84151331,563.23637286
562,125.674164,NA,869.905743572432,494.795092480476
563,236.1692935,276.010763248,765.022328747447,313.88729904
564,301.931685,217.915572028,898.195714735854,240.84426299175
565,207.499178,276.3069094804,895.34521596,431.99556502
567,194.548743,211.092152211893,927.861047845,590.076245860529
571,261.87938875,334.629586999665,823.6077313275,482.3280951825
572,248.1933168,357.975318728958,965.708816512,392.49615313
574,123.9419,205.727328306311,716.290166995,327.973287154107
575,200.580675,168.755783553606,867.51591615,400.591529600921
576,343.647952499629,278.291047081277,732.411368374058,318.8761477125
578,131.502768,122.2754177622,726.68670129,375.990820933896
579,151.19678225,126.258092154,788.153580856,724.379853540609
581,179.664268666448,263.8171577682,815.366471524,NA
582,93.106195,180.62323407245,571.784171098,NA
583,139.729147666458,115.324317199,NA,398.827328235
586,210.4318205,254.296776706875,962.532929616,854.75103588
587,194.6806596,NA,887.320724086738,298.10088146
590,232.9763965,370.414542806,756.239799858151,NA
593,152.13626,212.444321226,1007.5501249,399.551337878757
594,260.464446,275.097409389544,863.47590654,610.559031368
595,132.02426125,120.890946618,908.590308827516,376.12357965
596,137.6722518,226.275424966405,923.073077564,568.411352053865
601,175.503861,NA,621.292259815,222.609691426967
602,160.2785016,131.3354284375,1039.10837313,476.783419338378
605,126.8472425,72.2770225085,956.794662596501,596.573216088031
606,184.9598784,157.452463593343,912.19769253,470.35334717
607,108.5316155,204.2583116672,819.991044952525,NA
609,398.525876,305.2392678,813.31544048,214.409835732998
610,110.867500333147,175.74534164503,709.135581807425,483.325947494
612,178.3712224,224.405652896973,875.17188668,NA
614,106.100448,125.797221406852,871.55858713,436.34962215
619,220.40408375,496.170102477962,882.196717239168,229.509106632
620,191.2419544,295.701338192284,710.01820131,452.335704407844
623,149.6149312,239.970131286998,709.19456652,350.720941988937
625,197.79045771441,489.653291727151,732.376107285,NA
629,224.627634,274.802905284433,677.01105299,415.737831817104
631,261.637688,384.562135634941,644.779327342543,477.930536
633,112.18668375,86.229571515,921.8844428,NA
635,191.462614666387,336.93498963,760.424499732595,532.445229942635
640,148.11816,NA,814.439321594,751.997761580657
642,256.02378966697,189.96842172825,887.792028548,230.94007888
644,247.788747,370.080507777033,782.1387632925,254.2954195025
647,287.7011,119.048652215657,897.69229947,601.275811585876
649,218.2267685,182.06689964,NA,324.614582055
651,308.415691999672,374.174577333801,704.957716728,307.03895274
656,127.7935325,213.136613229,796.9090878,517.98396942
657,319.74256657113,302.956151875,1021.354754772,568.356266720458
658,117.40835625,333.718870645,748.58946630587,298.115887615353
659,166.6523785,365.052038800576,768.721519867365,325.421207200407
660,93.469077,257.256017793,947.0498079575,205.878855382396
663,210.96306,187.3908408996,910.774466292599,509.54599158387
666,264.326195571173,173.279841412787,828.96735504,NA
672,109.991392000196,191.37546355,811.797475055,707.69103195
676,202.2039936,262.713509988024,783.488671924066,828.817486458027
680,374.021015166287,419.853350844312,841.5098552575,241.2256800408
681,118.399946,111.57795054,801.233062523328,615.9583359375
683,162.5893612,164.358961108222,552.572261992,498.166192826153
687,137.43271975,88.5624663841581,820.575694002,724.162830496252
691,177.457438,217.55096373,981.294056934614,926.29491625125
697,157.11610333355,249.390008928903,751.386687334017,517.723107552
700,446.6795112,459.94085697,852.783449325,238.450952132993
